一级类目,二级类目,三级类目,四级类目,五级级类目,六级类目,成本
权威公司,电商自营,空气质量,空气处理用品,锰包,,2000
权威公司,电商自营,空气质量,空气处理用品,炭包,,20
权威公司,电商自营,灯饰照明,读写灯饰,读写落地灯,,50
权威公司,电商自营,空气质量,净化除味,除醛喷剂,,60
权威公司,电商自营,家用电器,生活电器,空气净化器,,80
权威公司,电商自营,营养保健,心脑血管养护,鱼油,,1200
权威公司,电商自营,厨具,烹饪锅具,炒锅,,500
权威公司,电商自营,空气质量,空气处理用品,鞋袜喷雾,,600
权威公司,电商自营,家具,床垫,弹簧床垫,,800
权威公司,电商自营,生鲜,预制菜,肉制品,,400
权威公司,电商自营,空气质量,空气处理用品,锰包,,600
权威公司,电商自营,家庭清洁,纸品,衣物清洁,普通洗衣液,600
权威公司,电商自营,母婴,婴童寝居,防撞,防护小件,600
权威公司,电商自营,营养保健,婴童营养,婴童DHA,鱼肝油,600
权威公司,电商自营,服饰内衣,男装,男士羽绒服,,600
权威公司,电商自营,家庭清洁,纸品,衣物清洁,内衣洗衣液,600
权威公司,CPS+轻定制,灯饰照明,读写灯饰,读写落地灯,,600
权威公司,CPS+轻定制,家庭清洁,纸品,衣物清洁,洗衣凝珠,600
权威公司,CPS+轻定制,营养保健,维生素,矿物质,矿物质,600
权威公司,CPS+轻定制,美妆护肤,面部护肤,面部精华,,600
权威公司,CPS+轻定制,粮油调味,食用油,菜籽油,,600
权威公司,CPS+轻定制,营养保健,婴童营养,婴童叶黄素,,600
权威公司,CPS+轻定制,个人护理,美发造型,时尚彩染膏,,600
权威公司,CPS+轻定制,家庭清洁,纸品,衣物清洁,普通洗衣液,600
权威公司,CPS+轻定制,美妆护肤,面部护肤,爽肤水,化妆水,600
权威公司,CPS+轻定制,美妆护肤,面部护肤,面部精华,,600
权威公司,CPS+轻定制,家庭清洁,纸品,清洁纸品,湿厕纸,600
权威公司,CPS+轻定制,水饮冲调,常温奶,基础牛奶,,600
权威公司,CPS+轻定制,美妆护肤,面部护肤,防晒,,600
权威公司,CPS+轻定制,美妆护肤,面部护肤,面部精华,,600
权威公司,CPS+轻定制,个人护理,洗发护发,洗发水,,600
权威公司,CPS+轻定制,空气质量,空气检测,甲醛仪器,,600
权威公司,CPS+轻定制,床上用品,儿童床品,儿童枕头,,600
权威公司,CPS+轻定制,家用电器,厨房小电,养生壶,,600
权威公司,CPS+轻定制,水饮冲调,常温奶,基础牛奶,,600
权威公司,CPS+轻定制,营养保健,婴童营养,婴童DHA,鱼肝油,600
权威公司,CPS+轻定制,空气质量,空气检测,其他,,600
权威公司,CPS+轻定制,家庭清洁,纸品,家庭环境清洁,洗衣机清洁剂,600
权威公司,CPS+轻定制,灯饰照明,吸顶灯,室内吸顶灯,,600
权威公司,抽检业务,美妆护肤,面部护肤,洁面,,600
权威公司,抽检业务,美妆护肤,面部护肤,乳液,面霜,600
权威公司,抽检业务,美妆护肤,精油芳疗,纯露,花水,600
权威公司,抽检业务,空气质量,空气检测,TVOC,,600
权威公司,抽检业务,营养保健,养颜,抗氧化,胶原蛋白,600
权威公司,抽检业务,美妆护肤,面部护肤,洁面,,600
权威公司,抽检业务,灯饰照明,读写灯饰,读写落地灯,,600
权威公司,抽检业务,美妆护肤,面部护肤,卸妆,,600
权威公司,抽检业务,营养保健,婴童营养,婴童DHA,鱼肝油,3000
权威公司,抽检业务,美妆护肤,面部护肤,乳液,面霜,3000
权威公司,抽检业务,个人护理,口腔护理,牙膏,,3000
权威公司,抽检业务,美妆护肤,面部护肤,面部精华,,3000
权威公司,抽检业务,家用电器,个护健康,筋膜枪,,3000
权威公司,抽检业务,美妆护肤,面部护肤,面膜,,3000
权威公司,抽检业务,床上用品,枕头,乳胶枕,,3000
权威公司,抽检业务,母婴,婴童洗护,日常护理,,3000
权威公司,抽检业务,个人护理,口腔护理,牙膏,,3000
权威公司,抽检业务,空气质量,空气检测,TVOC,,3000
权威公司,抽检业务,粮油调味,米,稻花香米,,3000
权威公司,抽检业务,粮油调味,米,稻花香米,,3000
权威公司,抽检业务,美妆护肤,面部护肤,爽肤水,化妆水,3000
权威公司,抽检业务,美妆护肤,面部护肤,防晒,,3000
权威公司,抽检业务,美妆护肤,面部护肤,洁面,,3000
权威公司,抽检业务,母婴,尿裤,婴童纸尿裤,,3000
权威公司,MCN业务,生鲜,禽肉蛋品,蛋类,,3000
权威公司,MCN业务,水饮冲调,常温奶,基础牛奶,,3000
权威公司,MCN业务,家庭清洁,纸品,衣物清洁,内衣洗衣液,3000
